"Time","армянский язык","английский язык"
"2016-08-01",0,38
"2016-09-01",22,48
"2016-10-01",20,64
"2016-11-01",28,40
"2016-12-01",0,37
"2017-01-01",18,54
"2017-02-01",17,48
"2017-03-01",40,34
"2017-04-01",19,40
"2017-05-01",28,25
"2017-06-01",20,34
"2017-07-01",32,43
"2017-08-01",0,52
"2017-09-01",39,49
"2017-10-01",19,53
"2017-11-01",31,42
"2017-12-01",0,51
"2018-01-01",40,44
"2018-02-01",26,47
"2018-03-01",29,36
"2018-04-01",37,39
"2018-05-01",30,41
"2018-06-01",0,48
"2018-07-01",29,50
"2018-08-01",32,39
"2018-09-01",42,69
"2018-10-01",41,54
"2018-11-01",35,60
"2018-12-01",0,31
"2019-01-01",40,57
"2019-02-01",42,57
"2019-03-01",39,39
"2019-04-01",43,41
"2019-05-01",38,44
"2019-06-01",47,48
"2019-07-01",21,43
"2019-08-01",23,30
"2019-09-01",58,65
"2019-10-01",57,55
"2019-11-01",58,55
"2019-12-01",55,34
"2020-01-01",44,43
"2020-02-01",47,58
"2020-03-01",53,47
"2020-04-01",74,69
"2020-05-01",36,51
"2020-06-01",53,38
"2020-07-01",41,40
"2020-08-01",48,30
"2020-09-01",34,77
"2020-10-01",39,61
"2020-11-01",36,53
"2020-12-01",35,71
"2021-01-01",39,50
"2021-02-01",56,77
"2021-03-01",52,56
"2021-04-01",59,50
"2021-05-01",54,63
"2021-06-01",56,39
"2021-07-01",45,50
"2021-08-01",48,0
"2021-09-01",68,72
"2021-10-01",57,64
"2021-11-01",71,75
"2021-12-01",57,53
"2022-01-01",75,63
"2022-02-01",69,81
"2022-03-01",74,59
"2022-04-01",89,52
"2022-05-01",69,54
"2022-06-01",60,45
"2022-07-01",46,30
"2022-08-01",53,44
"2022-09-01",93,80
"2022-10-01",100,58
"2022-11-01",88,60
"2022-12-01",55,39
"2023-01-01",91,61
"2023-02-01",98,55
"2023-03-01",93,45
"2023-04-01",88,62
"2023-05-01",91,36
"2023-06-01",78,35
"2023-07-01",55,38
"2023-08-01",58,33
"2023-09-01",67,68
"2023-10-01",79,54
"2023-11-01",93,49
"2023-12-01",64,51
"2024-01-01",84,45
"2024-02-01",71,42
"2024-03-01",68,54
"2024-04-01",64,66
"2024-05-01",50,25
"2024-06-01",49,24
"2024-07-01",51,28
"2024-08-01",46,35
"2024-09-01",71,53
"2024-10-01",68,26
"2024-11-01",68,48
"2024-12-01",57,26
"2025-01-01",62,42
"2025-02-01",77,44
"2025-03-01",79,17
"2025-04-01",61,31
"2025-05-01",63,25
"2025-06-01",56,28
"2025-07-01",42,19
"2025-08-01",50,28
"2025-09-01",69,50
"2025-10-01",67,35
"2025-11-01",79,29
"2025-12-01",61,34
"2026-01-01",40,19
"2026-02-01",59,34
"2026-03-01",56,18
"2026-04-01",46,18
"2026-05-01",54,25
"2026-06-01",49,19
"2026-07-01",39,3
"2026-08-01",57,16
