Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «изучение армянского языка», по месяцам, 01.01.2020 — 31.07.2026, Армения, все устройства
январь 2020;12;0,000109;
февраль 2020;8;0,000083;
март 2020;6;0,000055;
апрель 2020;6;0,000051;
май 2020;6;0,000060;
июнь 2020;6;0,000068;
июль 2020;4;0,000046;
август 2020;5;0,000061;
сентябрь 2020;13;0,000158;
октябрь 2020;1;0,000011;
ноябрь 2020;9;0,000094;
декабрь 2020;4;0,000043;
январь 2021;6;0,000061;
февраль 2021;12;0,000140;
март 2021;3;0,000033;
апрель 2021;6;0,000076;
май 2021;1;0,000012;
июнь 2021;12;0,000152;
июль 2021;6;0,000068;
август 2021;6;0,000067;
сентябрь 2021;10;0,000127;
октябрь 2021;10;0,000120;
ноябрь 2021;7;0,000082;
декабрь 2021;3;0,000034;
январь 2022;7;0,000071;
февраль 2022;2;0,000022;
март 2022;15;0,000140;
апрель 2022;22;0,000236;
май 2022;23;0,000237;
июнь 2022;18;0,000194;
июль 2022;26;0,000257;
август 2022;31;0,000298;
сентябрь 2022;30;0,000313;
октябрь 2022;80;0,000662;
ноябрь 2022;25;0,000208;
декабрь 2022;51;0,000439;
январь 2023;23;0,000194;
февраль 2023;21;0,000200;
март 2023;14;0,000128;
апрель 2023;20;0,000203;
май 2023;15;0,000153;
июнь 2023;37;0,000382;
июль 2023;34;0,000322;
август 2023;55;0,000518;
сентябрь 2023;31;0,000338;
октябрь 2023;29;0,000310;
ноябрь 2023;24;0,000269;
декабрь 2023;10;0,000112;
январь 2024;18;0,000188;
февраль 2024;9;0,000105;
март 2024;26;0,000288;
апрель 2024;13;0,000161;
май 2024;18;0,000219;
июнь 2024;15;0,000188;
июль 2024;14;0,000159;
август 2024;15;0,000172;
сентябрь 2024;26;0,000339;
октябрь 2024;10;0,000124;
ноябрь 2024;13;0,000158;
декабрь 2024;9;0,000102;
январь 2025;24;0,000262;
февраль 2025;14;0,000159;
март 2025;17;0,000187;
апрель 2025;12;0,000139;
май 2025;20;0,000239;
июнь 2025;37;0,000405;
июль 2025;18;0,000168;
август 2025;47;0,000432;
сентябрь 2025;19;0,000241;
октябрь 2025;34;0,000471;
ноябрь 2025;20;0,000309;
декабрь 2025;15;0,000241;
январь 2026;30;0,000480;
февраль 2026;13;0,000269;
март 2026;11;0,000176;
апрель 2026;16;0,000236;
май 2026;25;0,000380;
июнь 2026;31;0,000432;
июль 2026;83;0,000919;
